Price,Year,Mileage,State,Make,Model
16472,2015,18681, MO,Buick,EncoreConvenience
15749,2015,27592, IN,Buick,EncoreFWD
16998,2015,13650, NC,Buick,EncoreLeather
15777,2015,25195, LA,Buick,EncoreFWD
16784,2015,22800, NV,Buick,EncoreConvenience
17020,2016,16877, NY,Buick,EncoreFWD
15950,2015,27885, CA,Buick,EncoreFWD
17091,2016,24008, AR,Buick,EncoreFWD
16995,2015,8624, FL,Buick,EncoreConvenience
17700,2015,13807, NC,Buick,EncoreConvenience
14555,2014,29535, AZ,Buick,EncoreFWD
18988,2017,4705, KY,Buick,EncoreFWD
17491,2016,11123, TN,Buick,EncoreFWD
17432,2015,11330, MO,Buick,EncoreConvenience
20959,2017,36981, MI,Buick,VeranoSport
16699,2015,21323, FL,Buick,EncoreFWD
15995,2015,18887, LA,Buick,EncoreFWD
17950,2016,10925, IN,Buick,EncoreFWD
15239,2015,20681, TX,Buick,EncoreConvenience
16814,2015,11541, FL,Buick,EncoreFWD
15972,2015,28408, PA,Buick,EncoreFWD
17222,2015,10652, OK,Buick,EncoreConvenience
18366,2016,3104, NJ,Buick,EncoreFWD
13488,2014,33215, MD,Buick,EncoreFWD
16400,2015,21694, OH,Buick,EncoreFWD
18902,2017,5, CA,Buick,EncoreFWD
18902,2017,5, CA,Buick,EncoreFWD
16476,2015,21962, GA,Buick,EncoreConvenience
16450,2014,12760, OH,Buick,EncoreFWD
16000,2015,19446, MI,Buick,EncoreConvenience
16217,2015,23837, NC,Buick,EncoreFWD
16895,2015,21026, PA,Buick,EncoreFWD
16900,2015,10369, PA,Buick,EncoreFWD
17500,2015,7166, NJ,Buick,EncoreConvenience
18988,2017,6111, KY,Buick,EncoreFWD
15600,2015,33423, Va,Buick,EncoreFWD
17591,2015,10014, AZ,Buick,EncoreFWD
15995,2015,20496, GA,Buick,EncoreConvenience
15593,2015,17440, OH,Buick,EncoreAWD
17900,2017,9850, FL,Buick,EncoreFWD
17000,2015,13590, NJ,Buick,EncoreConvenience
15495,2014,24554, LA,Buick,EncoreFWD
16988,2016,12510, FL,Buick,EncoreFWD
15591,2015,29804, FL,Buick,EncoreFWD
16737,2015,16701, Fl,Buick,EncoreFWD
11262,2013,64997, FL,Buick,EncoreEncore
13900,2014,25982, FL,Buick,EncoreConvenience
16799,2015,16735, NJ,Buick,EncoreFWD
16500,2014,10478, FL,Buick,EncoreLeather
17991,2016,14806, AZ,Buick,EncoreFWD
15499,2015,37406, TX,Buick,EncoreConvenience
15725,2015,17005, NJ,Buick,EncoreFWD
19663,2016,3064, NC,Buick,EncoreFWD
16445,2015,19469, TX,Buick,EncoreConvenience
15750,2015,26927, TX,Buick,EncoreConvenience
16567,2015,6156, FL,Buick,EncoreConvenience
17479,2015,15572, CA,Buick,EncoreConvenience
16344,2016,24241, AZ,Buick,EncoreFWD
20500,2017,2381, NC,Buick,EncoreFWD
15795,2014,8886, NY,Buick,EncoreFWD
13500,2013,46157, FL,Buick,EncoreConvenience
18991,2017,5395, NC,Buick,EncoreFWD
16984,2015,20433, CO,Buick,EncoreAWD
17300,2015,24075, NC,Buick,EncoreConvenience
18676,2016,3448, Fl,Buick,EncoreConvenience
16400,2015,19581, PA,Buick,EncoreFWD
16947,2015,19091, MD,Buick,EncoreFWD
17950,2015,7895, CA,Buick,EncoreFWD
17500,2016,20157, TX,Buick,EncoreConvenience
14990,2015,33847, MO,Buick,EncoreFWD
15995,2015,24930, ND,Buick,EncoreConvenience
15980,2014,16520, AL,Buick,EncoreConvenience
3999,2006,132582, IL,Buick,Terraza4dr
16947,2015,22352, MA,Buick,EncoreAWD
17998,2016,11015, NC,Buick,EncoreFWD
13590,2014,35725, FL,Buick,EncoreFWD
14975,2014,25352, WA,Buick,EncorePremium
15475,2016,40147, LA,Buick,EncoreFWD
14901,2015,51091, TX,Buick,EncoreConvenience
17853,2016,13503, FL,Buick,EncoreFWD
18800,2016,8968, WI,Buick,EncoreFWD
16995,2015,23174, PA,Buick,EncoreFWD
17991,2016,10059, MD,Buick,EncoreFWD
15285,2014,17671, PA,Buick,EncoreFWD
16495,2015,19495, MA,Buick,EncoreAWD
17853,2016,13625, FL,Buick,EncoreFWD
3950,2003,176935, IN,Buick,RendezvousCXL
17400,2016,9368, AR,Buick,EncoreFWD
19327,2017,3339, TX,Buick,EncoreFWD
16343,2016,30716, OH,Buick,EncoreFWD
15678,2015,19825, IN,Buick,EncoreFWD
16875,2015,14682, FL,Buick,EncoreConvenience
16995,2015,26643, GA,Buick,EncoreLeather
15000,2014,39648, FL,Buick,EncoreConvenience
15994,2015,16067, FL,Buick,EncoreLeather
14988,2014,29328, MN,Buick,EncoreConvenience
16475,2015,15612, FL,Buick,EncoreFWD
16300,2015,25485, NJ,Buick,EncoreFWD
14899,2014,31175, NC,Buick,EncoreFWD
13977,2013,40722, AZ,Buick,EncoreConvenience
20485,2017,5614, NC,Buick,EncoreFWD
15392,2015,39846, WI,Buick,EncoreConvenience
14484,2014,19263, FL,Buick,EncoreFWD
14901,2014,26624, FL,Buick,EncoreFWD
14376,2015,47383, NV,Buick,EncoreConvenience
16992,2015,14754, AZ,Buick,EncoreFWD
15555,2015,22058, NY,Buick,EncoreFWD
16468,2015,11219, OH,Buick,EncoreConvenience
16533,2016,28871, KY,Buick,EncoreFWD
15595,2015,21745, TX,Buick,EncoreConvenience
17659,2016,16669, NJ,Buick,EncoreFWD
16470,2015,20030, FL,Buick,EncoreFWD
15377,2015,34393, OH,Buick,EncoreFWD
17976,2016,17887, MO,Buick,EncoreFWD
17988,2015,1592, FL,Buick,EncoreConvenience
13991,2014,45308, Fl,Buick,EncoreConvenience
16244,2015,22428, CA,Buick,EncoreFWD
15699,2014,24333, LA,Buick,EncoreConvenience
16999,2015,12558, FL,Buick,EncoreFWD
15599,2015,29851, VA,Buick,EncoreFWD
16495,2015,18905, LA,Buick,EncoreFWD
15000,2014,30720, OH,Buick,EncoreConvenience
18988,2016,15851, KS,Buick,EncoreFWD
16991,2015,22450, AZ,Buick,EncoreFWD
